ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16721712,<blank>,def,<blank>,TABLE_CONSTRAINTS,SYSTEM VIEW,2504,max_rows=6700,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16748692,<blank>,def,<blank>,TABLE_PRIVILEGES,SYSTEM VIEW,2372,max_rows=7073,0,utf8_general_ci,information_schema
def,75497472,0,<blank>,16384,TRIGGERS,<blank>,<blank>,<blank>,0,Dynamic,<blank>,utf8_general_ci,<blank>,information_schema,10,0,max_rows=568,InnoDB,<blank>,SYSTEM VIEW
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16726092,<blank>,def,<blank>,USER_PRIVILEGES,SYSTEM VIEW,1986,max_rows=8447,0,utf8_general_ci,information_schema
def,75497472,0,<blank>,16384,VIEWS,<blank>,<blank>,<blank>,0,Dynamic,<blank>,utf8_general_ci,<blank>,information_schema,10,0,max_rows=6797,InnoDB,<blank>,SYSTEM VIEW
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16746784,<blank>,def,<blank>,INNODB_LOCKS,SYSTEM VIEW,31244,max_rows=536,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16746912,<blank>,def,<blank>,INNODB_TRX,SYSTEM VIEW,4536,max_rows=3698,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16773779,<blank>,def,<blank>,INNODB_SYS_DATAFILES,SYSTEM VIEW,12007,max_rows=1397,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,16705332,<blank>,def,<blank>,INNODB_FT_CONFIG,SYSTEM VIEW,1163,max_rows=14425,0,utf8_general_ci,information_schema
Fixed,2021-10-28 10:08:20,0,<blank>,0,<blank>,10,<blank>,<blank>,MEMORY,11883850,<blank>,def,<blank>,INNODB_SYS_VIRTUAL,SYSTEM VIEW,17,max_rows=986895,0,utf8_general_ci,information_schema
